SRC_CD	EDW_CD	CODE_NAME	DESCRIPTION
5	NULL	DED_TYPE	Flat Deductible
A	No Deductible	DED_TYPE	Full Cov. (No Ded)
B	Deductible_1P	DED_TYPE	Basic Ded (1%)
C	NULL	DED_TYPE	1/2 of 1%
D	NULL	DED_TYPE	Flat Deductible
078	NULL	EXPOSURE_BASIS_CD	Replacement Value
138	405	EXPOSURE_BASIS_CD	Payroll
175	NULL	EXPOSURE_BASIS_CD	Actual Cash Value
177	NULL	EXPOSURE_BASIS_CD	Actual Cash Value
178	NULL	EXPOSURE_BASIS_CD	Actual Cash Value
275	350	EXPOSURE_BASIS_CD	Receipts
277	350	EXPOSURE_BASIS_CD	Receipts
278	350	EXPOSURE_BASIS_CD	Receipts
338	264	EXPOSURE_BASIS_CD	Mileage
938	NULL	EXPOSURE_BASIS_CD	(No Exposure)
01	PA	POLICY_LOB_CD	Personal Auto - Standard/Preferred
02	PA	POLICY_LOB_CD	Personal Auto (Auto-matic)
03	PA	POLICY_LOB_CD	Motorcycle
04	PA	POLICY_LOB_CD	Snowmobile
05	PA	POLICY_LOB_CD	Personal Auto - Non-Standard
10	CA	POLICY_LOB_CD	Commercial Auto - Standard
11	CA	POLICY_LOB_CD	Commercial Auto - Standard (ACIC)
12	CA	POLICY_LOB_CD	Commercial Auto Excess
15	CA	POLICY_LOB_CD	Commercial Auto - Sub Standard
16	CA	POLICY_LOB_CD	Crop Hail
17	CA	POLICY_LOB_CD	CA - Liability ONLY
18	CA	POLICY_LOB_CD	CA - Phys Damage ONLY
19	PR	POLICY_LOB_CD	Commercial Property (SMP)
20	PR	POLICY_LOB_CD	Commercial Fire
21	PR	POLICY_LOB_CD	Commercial Fire (Package)
22	DF	POLICY_LOB_CD	Dwelling Fire
23	HO	POLICY_LOB_CD	Homeowners (IO Test)
24	HO	POLICY_LOB_CD	Homeowners
26	HO	POLICY_LOB_CD	Farmowners
27	HO	POLICY_LOB_CD	Farm Fire
32	HO	POLICY_LOB_CD	Mobile Homeowners
34	GL	POLICY_LOB_CD	General Liability (SMP)
35	GL	POLICY_LOB_CD	Commercial General Liability (Old Plan)
36	GL	POLICY_LOB_CD	Commercial General Liability
37	GL	POLICY_LOB_CD	Commercial General Liability (Package)
38	GL	POLICY_LOB_CD	Commercial Garage Liability
39	GL	POLICY_LOB_CD	General Liability Excess
40	GL	POLICY_LOB_CD	Medical Professional Liability
42	WC	POLICY_LOB_CD	Worker's Compensation
44	GL	POLICY_LOB_CD	Personal Umbrella
46	CU	POLICY_LOB_CD	Commercial Umbrella
48	WC	POLICY_LOB_CD	Surety Bonds
50	WC	POLICY_LOB_CD	Fidelity and Forgery
52	CR	POLICY_LOB_CD	Crime
53	CR	POLICY_LOB_CD	Personal Theft
54	PG	POLICY_LOB_CD	CPL (Comp Pers Liab)
55	PG	POLICY_LOB_CD	CPL Town Mutual
56	PG	POLICY_LOB_CD	FCPL Farmer's Comp Pers Liab
57	PG	POLICY_LOB_CD	FCPL Town Mutual
58	GL	POLICY_LOB_CD	Personal Liability
60	GL	POLICY_LOB_CD	Glass and Sign
61	GL	POLICY_LOB_CD	Residence Glass
67	GL	POLICY_LOB_CD	Scheduled Farm Personal Prop
68	IM	POLICY_LOB_CD	Personal Inland Marine
69	GL	POLICY_LOB_CD	Farm Outbuildings and Structures
70	IM	POLICY_LOB_CD	Commercial Inland Marine
71	NULL	POLICY_LOB_CD	Motor Truck Cargo
72	PR	POLICY_LOB_CD	Commercial Flood
73	NULL	POLICY_LOB_CD	Ocean Marine
75	BO	POLICY_LOB_CD	Businessowners
