POLICY_LOB_CD	WPC_LOB_CD	WPC_COVERAGE_CD	WPC_COVERAGE_DESCR	ASLOB_CD	CORR_ASLOB_CD	SUBLINE_CD	CORR_SUBLINE_CD	EDW_COVERAGE_CD
PA	01	110	Bodily Injury	192	NULL	501	NULL	740001
PA	01	141	Uninsured/Underinsured Motorist - BI/Split	192	NULL	511	NULL	740002
PA	02	997	Filing Fee	000	NULL	000	NULL	740003
PA	02	110	Bodily Injury	192	NULL	501	NULL	740004
PA	02	959	Form Coverage Code (default)	192	NULL	501	NULL	740005
PA	02	120	Property Damage	192	NULL	502	NULL	740006
PA	02	101	CSL (BI & PD)	192	NULL	503	NULL	740007
PA	02	959	Form Coverage Code (default)	192	NULL	503	NULL	740008
PA	02	130	Medical Payments	192	NULL	504	NULL	740009
PA	02	140	Uninsured/Underinsured Motorist - BI/CSL	192	NULL	511	NULL	740010
PA	02	141	Uninsured/Underinsured Motorist - BI/Split	192	NULL	511	NULL	740011
PA	02	959	Form Coverage Code (default)	192	NULL	511	NULL	740012
PA	02	210	Comprehensive	211	NULL	530	NULL	740013
PA	02	220	Towing & Labor	211	NULL	530	NULL	740014
PA	02	230	Extended Transportation	211	NULL	530	NULL	740015
PA	02	251	Audio/Electronics	211	NULL	530	NULL	740016
PA	02	200	Collision	211	NULL	531	NULL	740017
PA	02	210	Comprehensive	211	NULL	531	NULL	740018
PA	04	110	Bodily Injury	192	NULL	501	NULL	740019
PA	04	959	Form Coverage Code (default)	192	NULL	501	NULL	740020
PA	04	120	Property Damage	192	NULL	502	NULL	740021
PA	04	101	CSL (BI & PD)	192	NULL	503	NULL	740022
PA	04	140	Uninsured/Underinsured Motorist - BI/CSL	192	NULL	511	NULL	740023
PA	04	141	Uninsured/Underinsured Motorist - BI/Split	192	NULL	511	NULL	740024
PA	04	202	Collision and Comprehensive Combined	211	NULL	532	NULL	740025
PA	04	270	Sled Trailers	211	NULL	532	NULL	740026
PA	04	280	Transport Trailers	211	NULL	532	NULL	740027
CA	10	997	Filing Fee	000	NULL	000	NULL	740028
CA	10	101	CSL (BI & PD)	194	NULL	611	NULL	740029
CA	10	106	Non-Owned Auto - Liability	194	NULL	611	NULL	740030
CA	10	110	Bodily Injury	194	NULL	611	NULL	740031
CA	10	120	Property Damage	194	NULL	611	NULL	740032
CA	10	130	Medical Payments	194	NULL	611	NULL	740033
CA	10	140	Uninsured/Underinsured Motorist - BI/CSL	194	NULL	611	NULL	740034
CA	10	141	Uninsured/Underinsured Motorist - BI/Split	194	NULL	611	NULL	740035
CA	10	700	Terrorism Certified Acts	194	NULL	611	NULL	740036
CA	10	701	Terrorism Fire only	194	NULL	611	NULL	740037
CA	10	200	Collision	212	NULL	618	NULL	740038
CA	10	201	Collision - Stated Value	212	NULL	618	NULL	740039
CA	10	210	Comprehensive	212	NULL	618	NULL	740040
CA	10	211	Comprehensive - Stated Value	212	NULL	618	NULL	740041
CA	10	216	Specified Causes of Loss	212	NULL	618	NULL	740042
CA	10	220	Towing & Labor	212	NULL	618	NULL	740043
CA	10	230	Extended Transportation	212	NULL	618	NULL	740044
CA	10	700	Terrorism Certified Acts	212	NULL	618	NULL	740045
PR	20	500	Building	010	NULL	015	NULL	740046
PR	20	510	Personal Property	010	NULL	015	NULL	740047
PR	20	530	Time Element - Business Income (Other than Rental Properties)	010	NULL	015	NULL	740048
PR	20	550	Time Element - Extra Expense	010	NULL	015	NULL	740049
PR	20	590	Optional Contaminant and Pollutant Clean UP/Removal Endorsement	010	NULL	015	NULL	740050
PR	20	700	Terrorism Certified Acts	010	NULL	015	NULL	740051
PR	20	701	Terrorism Fire only	010	NULL	015	NULL	740052
PR	20	898	Mechanical Breakdown	010	NULL	015	NULL	740053
PR	20	500	Building	010	NULL	018	NULL	740054
PR	20	500	Building	021	NULL	025	NULL	740055
PR	20	510	Personal Property	021	NULL	025	NULL	740056
PR	20	520	Building / Contents Combined	021	NULL	025	NULL	740057
PR	20	550	Time Element - Extra Expense	021	NULL	025	NULL	740058
PR	20	700	Terrorism Certified Acts	021	NULL	025	NULL	740059
PR	20	701	Terrorism Fire only	021	NULL	025	NULL	740060
PR	20	500	Building	021	NULL	035	NULL	740061
PR	20	510	Personal Property	021	NULL	035	NULL	740062
PR	20	520	Building / Contents Combined	021	NULL	035	NULL	740063
PR	20	530	Time Element - Business Income (Other than Rental Properties)	021	NULL	035	NULL	740064
PR	20	540	Time Element Business Income (Rental Properties)	021	NULL	035	NULL	740065
PR	20	550	Time Element - Extra Expense	021	NULL	035	NULL	740066
PR	20	560	Time Element - All Other	021	NULL	035	NULL	740067
PR	20	700	Terrorism Certified Acts	021	NULL	035	NULL	740068
PR	20	701	Terrorism Fire only	021	NULL	035	NULL	740069
PR	20	500	Building	021	NULL	045	NULL	740070
PR	20	510	Personal Property	021	NULL	045	NULL	740071
PR	20	530	Time Element - Business Income (Other than Rental Properties)	021	NULL	045	NULL	740072
PR	20	700	Terrorism Certified Acts	021	NULL	045	NULL	740073
PR	20	701	Terrorism Fire only	021	NULL	045	NULL	740074
PR	20	500	Building	021	NULL	055	NULL	740075
PR	20	510	Personal Property	021	NULL	055	NULL	740076
PR	20	520	Building / Contents Combined	021	NULL	055	NULL	740077
PR	20	510	Personal Property	021	NULL	070	NULL	740078
PR	20	560	Time Element - All Other	021	NULL	090	NULL	740079
PR	20	700	Terrorism Certified Acts	021	NULL	090	NULL	740080
PR	20	701	Terrorism Fire only	021	NULL	090	NULL	740081
PR	20	900	Fidelity and Forgery	230	NULL	940	NULL	740082
PR	21	500	Building	051	NULL	015	NULL	740083
PR	21	510	Personal Property	051	NULL	015	NULL	740084
PR	21	530	Time Element - Business Income (Other than Rental Properties)	051	NULL	015	NULL	740085
PR	21	540	Time Element Business Income (Rental Properties)	051	NULL	015	NULL	740086
PR	21	550	Time Element - Extra Expense	051	NULL	015	NULL	740087
PR	21	560	Time Element - All Other	051	NULL	015	NULL	740088
PR	21	590	Optional Contaminant and Pollutant Clean UP/Removal Endorsement	051	NULL	015	NULL	740089
PR	21	700	Terrorism Certified Acts	051	NULL	015	NULL	740090
PR	21	701	Terrorism Fire only	051	NULL	015	NULL	740091
PR	21	898	Mechanical Breakdown	051	NULL	015	NULL	740092
PR	21	500	Building	051	NULL	025	NULL	740093
PR	21	510	Personal Property	051	NULL	025	NULL	740094
PR	21	530	Time Element - Business Income (Other than Rental Properties)	051	NULL	025	NULL	740095
PR	21	700	Terrorism Certified Acts	051	NULL	025	NULL	740096
PR	21	701	Terrorism Fire only	051	NULL	025	NULL	740097
PR	21	500	Building	051	NULL	035	NULL	740098
PR	21	510	Personal Property	051	NULL	035	NULL	740099
PR	21	520	Building / Contents Combined	051	NULL	035	NULL	740100
PR	21	530	Time Element - Business Income (Other than Rental Properties)	051	NULL	035	NULL	740101
PR	21	540	Time Element Business Income (Rental Properties)	051	NULL	035	NULL	740102
PR	21	550	Time Element - Extra Expense	051	NULL	035	NULL	740103
PR	21	700	Terrorism Certified Acts	051	NULL	035	NULL	740104
PR	21	701	Terrorism Fire only	051	NULL	035	NULL	740105
PR	21	500	Building	051	NULL	045	NULL	740106
PR	21	510	Personal Property	051	NULL	045	NULL	740107
PR	21	530	Time Element - Business Income (Other than Rental Properties)	051	NULL	045	NULL	740108
PR	21	550	Time Element - Extra Expense	051	NULL	045	NULL	740109
PR	21	560	Time Element - All Other	051	NULL	045	NULL	740110
PR	21	700	Terrorism Certified Acts	051	NULL	045	NULL	740111
PR	21	701	Terrorism Fire only	051	NULL	045	NULL	740112
PR	21	500	Building	051	NULL	055	NULL	740113
PR	21	510	Personal Property	051	NULL	055	NULL	740114
PR	21	520	Building / Contents Combined	051	NULL	055	NULL	740115
PR	21	700	Terrorism Certified Acts	051	NULL	055	NULL	740116
PR	21	701	Terrorism Fire only	051	NULL	055	NULL	740117
PR	21	510	Personal Property	051	NULL	070	NULL	740118
PR	21	520	Building / Contents Combined	051	NULL	070	NULL	740119
PR	21	560	Time Element - All Other	051	NULL	070	NULL	740120
PR	21	510	Personal Property	051	NULL	090	NULL	740121
PR	21	550	Time Element - Extra Expense	051	NULL	090	NULL	740122
PR	21	591	Loss of Business Income	051	NULL	090	NULL	740123
HO	24	800	Coverage A - Dwelling	040	NULL	402	NULL	740124
HO	24	801	Coverage B - Other Structures	040	NULL	402	NULL	740125
HO	24	802	Coverage C - Personal Property	040	NULL	402	NULL	740126
HO	24	803	Coverage D - Loss of Use	040	NULL	402	NULL	740127
HO	24	804	Coverage E - Personal Liability	040	NULL	402	NULL	740128
HO	24	805	Coverage F - Medical Payments to Others	040	NULL	402	NULL	740129
HO	24	959	Form Coverage Code (default)	040	NULL	403	NULL	740130
HO	32	800	Coverage A - Dwelling	040	NULL	402	NULL	740131
HO	32	801	Coverage B - Other Structures	040	NULL	402	NULL	740132
HO	32	802	Coverage C - Personal Property	040	NULL	402	NULL	740133
HO	32	803	Coverage D - Loss of Use	040	NULL	402	NULL	740134
HO	32	804	Coverage E - Personal Liability	040	NULL	402	NULL	740135
HO	32	805	Coverage F - Medical Payments to Others	040	NULL	402	NULL	740136
HO	32	959	Form Coverage Code (default)	040	NULL	403	NULL	740137
GL	36	700	Terrorism Certified Acts	170	NULL	325	NULL	740138
GL	36	131	Premises/Operations Liability	170	NULL	334	NULL	740139
GL	36	700	Terrorism Certified Acts	170	NULL	334	NULL	740140
GL	36	701	Terrorism Fire only	170	NULL	334	NULL	740141
GL	36	700	Terrorism Certified Acts	170	NULL	335	NULL	740142
GL	36	132	Product Liability	180	NULL	336	NULL	740143
GL	36	700	Terrorism Certified Acts	180	NULL	336	NULL	740144
GL	36	701	Terrorism Fire only	180	NULL	336	NULL	740145
GL	36	131	Premises/Operations Liability	180	NULL	350	NULL	740146
GL	36	700	Terrorism Certified Acts	180	NULL	350	NULL	740147
GL	37	131	Premises/Operations Liability	052	NULL	325	NULL	740148
GL	37	700	Terrorism Certified Acts	052	NULL	325	NULL	740149
GL	37	701	Terrorism Fire only	052	NULL	325	NULL	740150
GL	37	131	Premises/Operations Liability	052	NULL	334	NULL	740151
GL	37	700	Terrorism Certified Acts	052	NULL	334	NULL	740152
GL	37	701	Terrorism Fire only	052	NULL	334	NULL	740153
GL	37	132	Product Liability	052	NULL	336	NULL	740154
GL	37	700	Terrorism Certified Acts	052	NULL	336	NULL	740155
GL	37	701	Terrorism Fire only	052	NULL	336	NULL	740156
GL	38	997	Filing Fee	000	NULL	000	NULL	740157
GL	38	101	CSL (BI & PD)	194	NULL	611	NULL	740158
GL	38	106	Non-Owned Auto - Liability	194	NULL	611	NULL	740159
GL	38	120	Property Damage	194	NULL	611	NULL	740160
GL	38	130	Medical Payments	194	NULL	611	NULL	740161
GL	38	140	Uninsured/Underinsured Motorist - BI/CSL	194	NULL	611	NULL	740162
GL	38	141	Uninsured/Underinsured Motorist - BI/Split	194	NULL	611	NULL	740163
GL	38	700	Terrorism Certified Acts	194	NULL	611	NULL	740164
GL	38	203	Comprehensive - Garagekeepers	212	NULL	618	NULL	740165
GL	38	204	Dealers Comprehensive	212	NULL	618	NULL	740166
GL	38	205	Collision - Garagekeepers	212	NULL	618	NULL	740167
GL	38	206	Dealers Collision	212	NULL	618	NULL	740168
GL	38	207	Garagekeepers-Fire, Theft & Additional Coverages	212	NULL	618	NULL	740169
GL	38	209	False Pretense	212	NULL	618	NULL	740170
GL	38	216	Specified Causes of Loss	212	NULL	618	NULL	740171
GL	38	217	Drive Away Collision	212	NULL	618	NULL	740172
GL	38	700	Terrorism Certified Acts	212	NULL	618	NULL	740173
CR	52	700	Terrorism Certified Acts	260	NULL	960	NULL	740174
CR	52	905	Crime	260	NULL	960	NULL	740175
GL	60	951	Sign	250	NULL	950	NULL	740176
IM	70	700	Terrorism Certified Acts	090	NULL	920	NULL	740177
IM	70	701	Terrorism Fire only	090	NULL	920	NULL	740178
IM	70	741	Inland Marine - Commercial	090	NULL	920	NULL	740179
BO	75	850	Building	051	NULL	915	NULL	740180
BO	75	851	Personal Property/Contents	051	NULL	915	NULL	740181
BO	75	852	Contents Special	051	NULL	915	NULL	740182
BO	75	862	Employee Dishonesty	051	NULL	915	NULL	740183
BO	75	870	Hired Auto Liability	051	NULL	915	NULL	740184
